발표일자,예보지점 X 좌표,예보지점 Y 좌표,자료구분코드,실황 값
2024-05-14,59,88,T1H,18.2
2024-05-14,59,88,PTY,0
2024-05-14,59,88,REH,58
2024-05-14,59,88,RN1,0
2024-05-14,59,88,UUU,-0.4
2024-05-14,59,88,VEC,135
2024-05-14,59,88,VVV,0.5
2024-05-14,59,88,WSD,0.7
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,67
2024-05-14,56,87,RN1,0
2024-05-14,56,87,T1H,16.9
2024-05-14,56,87,UUU,0.1
2024-05-14,56,87,VEC,189
2024-05-14,52,85,WSD,1.8
2024-05-14,52,85,VVV,1.8
2024-05-14,52,85,VEC,180
2024-05-14,52,85,UUU,0
2024-05-14,52,85,T1H,18.9
2024-05-14,52,85,RN1,0
2024-05-14,52,85,REH,54
2024-05-14,52,85,PTY,0
2024-05-14,56,87,WSD,0.6
2024-05-14,56,87,VVV,0.6
2024-05-14,63,90,RN1,0
2024-05-14,63,90,REH,53
2024-05-14,63,90,PTY,0
2024-05-14,60,91,WSD,0.8
2024-05-14,60,91,VVV,0.3
2024-05-14,60,91,VEC,113
2024-05-14,60,91,UUU,-0.6
2024-05-14,60,91,T1H,17.5
2024-05-14,60,91,REH,52
2024-05-14,60,91,PTY,0
2024-05-14,63,89,WSD,0.6
2024-05-14,63,89,VVV,-0.1
2024-05-14,63,89,VEC,288
2024-05-14,63,89,UUU,0.6
2024-05-14,63,89,T1H,18.3
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,53
2024-05-14,63,89,PTY,0
2024-05-14,60,91,RN1,0
2024-05-14,63,90,T1H,18.3
2024-05-14,63,90,UUU,0.6
2024-05-14,63,90,VEC,288
2024-05-14,56,92,WSD,1
2024-05-14,56,92,VVV,0.3
2024-05-14,56,92,VEC,253
2024-05-14,56,92,UUU,1
2024-05-14,56,92,T1H,16.7
2024-05-14,56,92,RN1,0
2024-05-14,56,92,REH,77
2024-05-14,56,92,PTY,0
2024-05-14,58,83,WSD,0.4
2024-05-14,58,83,VVV,-0.2
2024-05-14,58,83,VEC,326
2024-05-14,58,83,UUU,0.2
2024-05-14,58,83,T1H,19
2024-05-14,58,83,RN1,0
2024-05-14,58,83,REH,54
2024-05-14,58,83,PTY,0
2024-05-14,63,90,WSD,0.6
2024-05-14,63,90,VVV,-0.1
2024-05-14,56,87,PTY,0
2024-05-14,56,87,T1H,16.9
2024-05-14,56,87,RN1,0
2024-05-14,56,87,REH,69
2024-05-14,59,88,REH,60
2024-05-14,59,88,PTY,0
2024-05-14,59,88,T1H,18.1
2024-05-14,59,88,UUU,-0.8
2024-05-14,59,88,VEC,103
2024-05-14,59,88,VVV,0.2
2024-05-14,59,88,WSD,0.9
2024-05-14,56,87,UUU,-0.2
2024-05-14,56,87,VEC,166
2024-05-14,52,85,T1H,18.4
2024-05-14,52,85,UUU,1.1
2024-05-14,52,85,VEC,220
2024-05-14,52,85,VVV,1.3
2024-05-14,52,85,WSD,1.7
2024-05-14,59,88,RN1,0
2024-05-14,52,85,RN1,0
2024-05-14,52,85,REH,61
2024-05-14,52,85,PTY,0
2024-05-14,56,87,WSD,1.2
2024-05-14,56,87,VVV,1.2
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,53
2024-05-14,58,83,RN1,0
2024-05-14,58,83,T1H,18.1
2024-05-14,58,83,UUU,0.3
2024-05-14,58,83,VEC,270
2024-05-14,58,83,VVV,0
2024-05-14,58,83,WSD,0.3
2024-05-14,56,92,PTY,0
2024-05-14,56,92,REH,78
2024-05-14,56,92,RN1,0
2024-05-14,56,92,T1H,16.2
2024-05-14,56,92,UUU,1
2024-05-14,56,92,VEC,297
2024-05-14,56,92,VVV,-0.4
2024-05-14,56,92,WSD,1.1
2024-05-14,60,91,PTY,0
2024-05-14,60,91,REH,56
2024-05-14,60,91,RN1,0
2024-05-14,60,91,T1H,17.1
2024-05-14,60,91,UUU,-0.8
2024-05-14,60,91,VEC,96
2024-05-14,60,91,VVV,0.1
2024-05-14,60,91,WSD,0.9
2024-05-14,63,90,PTY,0
2024-05-14,63,90,REH,56
2024-05-14,63,90,VVV,0.1
2024-05-14,63,90,VEC,256
2024-05-14,63,90,UUU,0.4
2024-05-14,63,90,T1H,17.8
2024-05-14,63,90,RN1,0
2024-05-14,63,90,WSD,0.4
2024-05-14,63,89,PTY,0
2024-05-14,63,89,REH,56
2024-05-14,63,89,RN1,0
2024-05-14,63,89,T1H,17.8
2024-05-14,63,89,UUU,0.4
2024-05-14,63,89,VEC,256
2024-05-14,63,89,VVV,0.1
2024-05-14,63,89,WSD,0.4
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,60
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,18.1
2024-05-14,52,85,UUU,0.7
2024-05-14,52,85,VEC,208
2024-05-14,52,85,VVV,1.3
2024-05-14,52,85,WSD,1.5
2024-05-14,56,87,WSD,1.2
2024-05-14,56,87,VVV,1.1
2024-05-14,56,87,VEC,160
2024-05-14,56,87,UUU,-0.3
2024-05-14,56,87,T1H,16.4
2024-05-14,56,87,RN1,0
2024-05-14,56,87,REH,71
2024-05-14,56,87,PTY,0
2024-05-14,59,88,PTY,0
2024-05-14,59,88,REH,58
2024-05-14,59,88,WSD,1.2
2024-05-14,59,88,VVV,0.4
2024-05-14,59,88,VEC,110
2024-05-14,59,88,UUU,-1
2024-05-14,59,88,T1H,17.1
2024-05-14,59,88,RN1,0
2024-05-14,56,92,REH,80
2024-05-14,56,92,WSD,1.4
2024-05-14,56,92,VVV,-0.7
2024-05-14,56,92,VEC,306
2024-05-14,56,92,UUU,1.1
2024-05-14,56,92,T1H,15.9
2024-05-14,56,92,RN1,0
2024-05-14,56,92,PTY,0
2024-05-14,63,89,RN1,0
2024-05-14,60,91,VEC,98
2024-05-14,60,91,UUU,-0.6
2024-05-14,60,91,T1H,16.8
2024-05-14,60,91,RN1,0
2024-05-14,60,91,REH,58
2024-05-14,60,91,PTY,0
2024-05-14,63,89,WSD,0.6
2024-05-14,63,89,VVV,0.3
2024-05-14,63,89,VEC,239
2024-05-14,63,89,UUU,0.5
2024-05-14,63,89,T1H,17.4
2024-05-14,63,89,PTY,0
2024-05-14,63,89,REH,57
2024-05-14,60,91,VVV,0.1
2024-05-14,60,91,WSD,0.7
2024-05-14,63,90,PTY,0
2024-05-14,58,83,VVV,-0.5
2024-05-14,58,83,VEC,351
2024-05-14,58,83,UUU,0.1
2024-05-14,58,83,T1H,17.7
2024-05-14,58,83,RN1,0
2024-05-14,58,83,REH,55
2024-05-14,58,83,PTY,0
2024-05-14,63,90,WSD,0.6
2024-05-14,58,83,WSD,0.6
2024-05-14,63,90,REH,57
2024-05-14,63,90,RN1,0
2024-05-14,63,90,T1H,17.4
2024-05-14,63,90,UUU,0.5
2024-05-14,63,90,VEC,239
2024-05-14,63,90,VVV,0.3
2024-05-14,59,88,PTY,0
2024-05-14,59,88,REH,61
2024-05-14,59,88,T1H,16.7
2024-05-14,59,88,UUU,-0.3
2024-05-14,59,88,VEC,160
2024-05-14,59,88,VVV,1.1
2024-05-14,59,88,WSD,1.2
2024-05-14,56,87,PTY,0
2024-05-14,56,87,REH,72
2024-05-14,56,87,RN1,0
2024-05-14,59,88,RN1,0
2024-05-14,56,87,UUU,-0.2
2024-05-14,56,87,VEC,168
2024-05-14,56,87,VVV,1.4
2024-05-14,56,87,WSD,1.4
2024-05-14,52,85,PTY,0
2024-05-14,52,85,REH,66
2024-05-14,52,85,RN1,0
2024-05-14,52,85,T1H,18
2024-05-14,52,85,UUU,0.6
2024-05-14,52,85,VEC,217
2024-05-14,52,85,VVV,0.8
2024-05-14,52,85,WSD,1
2024-05-14,56,87,T1H,16
2024-05-14,58,83,VVV,-0.3
2024-05-14,58,83,PTY,0
2024-05-14,58,83,REH,57
2024-05-14,58,83,RN1,0
2024-05-14,58,83,T1H,17.3
2024-05-14,58,83,UUU,0.2
2024-05-14,58,83,VEC,333
2024-05-14,58,83,WSD,0.4
2024-05-14,56,92,PTY,0
2024-05-14,56,92,REH,78
2024-05-14,56,92,RN1,0
2024-05-14,56,92,T1H,15.7
2024-05-14,56,92,UUU,-0.6
2024-05-14,56,92,VEC,139
2024-05-14,56,92,VVV,0.8
2024-05-14,56,92,WSD,1.1
2024-05-14,60,91,REH,61
2024-05-14,60,91,T1H,16.5
2024-05-14,60,91,UUU,-0.2
2024-05-14,60,91,VEC,124
2024-05-14,63,89,VEC,219
2024-05-14,63,89,UUU,0.4
2024-05-14,63,89,T1H,17.1
2024-05-14,60,91,RN1,0
2024-05-14,63,89,RN1,0
2024-05-14,63,89,REH,60
2024-05-14,63,89,PTY,0
2024-05-14,60,91,VVV,0.2
2024-05-14,60,91,WSD,0.4
