번호,지역,대상기업,제도,지원내용
1,부안군,대기업,설비보조금,설비투자금액의 8%~31%이내
2,김제시,대기업,설비보조금,설비투자금액의 8%~31%이내
3,전라북도,모든기업,설비보조금,설비투자금액의11%~39%
4,김제시,중견기업,설비보조금,설비투자금액의11%~39%
5,부안군,중소기업,설비보조금,설비투자금액의14%~44%
6,김제시,중소기업,설비보조금,설비투자금액의14%~44%
7,부안군,중견기업,입지보조금,토지매입가격의20%~25%
8,김제시,중견기업,입지보조금,토지매입가격의20%~25%
9,부안군,중소기업,입지보조금,토지매입가격의40%~50%
10,김제시,중소기업,입지보조금,토지매입가격의40%~50%
11,군산시,대기업,설비보조금,설비투자금액의 5%~31%이내
12,군산시,중견기업,설비보조금,설비투자금액의7%~39%
13,군산시,중소기업,설비보조금,설비투자금액의9%~44%
14,군산시,중견기업,입지보조금,토지매입가격의10%~25%
15,군산시,중소기업,입지보조금,토지매입가격의30%~50%
